MAZ,HH,ADLT,WRKR,KID
1085,278,590,328,69
1086,446,903,489,235
1087,719,1516,842,178
1088,223,446,252,98
1089,0,0,0,0
1090,285,593,289,216
1091,324,675,328,243
1092,0,0,0,0
1093,0,0,0,0
1094,188,438,283,109
1095,58,136,88,33
1096,0,0,0,0
1097,413,767,391,130
1098,0,0,0,0
1099,2,3,2,0
1100,676,1255,631,208
1101,0,0,0,0
1102,1,2,2,0
1103,0,0,0,0
1104,1,1,1,1
1105,0,0,0,0
1106,1,2,1,0
1107,6,12,8,4
1108,0,0,0,0
1109,18,41,27,11
1110,3,7,5,1
1111,2,2,2,1
1112,406,943,603,241
1113,255,597,385,149
1114,249,580,374,145
1115,255,595,381,151
1116,265,568,292,184
1117,362,753,366,272
1118,55,115,58,41
1119,365,759,372,272
1120,402,824,506,238
1121,901,1863,1032,257
1122,400,823,522,244
1123,286,605,335,71
1124,671,1028,551,202
1125,317,544,310,127
1126,463,858,512,223
1127,451,931,590,276
1128,0,0,0,0
1129,0,0,0,0
1130,1,2,1,0
1131,0,0,0,0
1132,33,66,37,12
1133,0,0,0,0
1134,0,0,0,0
1135,0,0,0,0
1136,0,0,0,0
1137,0,0,0,0
1138,517,1112,597,335
1139,361,787,445,245
1140,8,17,10,5
1141,538,1188,709,385
1142,45,102,61,32
1143,0,0,0,0
1144,522,1163,668,358
1145,472,1030,585,294
1146,341,767,421,220
1147,415,888,522,252
1148,574,1113,735,307
1149,545,1058,692,294
1150,147,290,191,80
1151,434,983,598,297
1152,101,232,140,70
1153,103,237,144,71
1154,186,418,254,127
1155,39,91,55,27
1156,439,994,619,249
1157,329,734,449,201
1158,359,815,530,186
1159,660,1498,927,429
1160,0,0,0,0
1161,206,454,271,148
1162,0,0,0,0
1163,40,89,53,29
1164,164,355,191,107
1165,7,12,6,3
1166,0,0,0,0
1167,0,0,0,0
1168,256,555,298,166
1169,522,1130,607,337
1170,29,58,31,12
1171,1,1,0,1
1172,57,112,61,20
1173,19,37,20,7
1174,65,129,71,24
1175,38,73,40,14
1176,165,327,179,61
1177,119,240,131,43
1178,75,155,100,58
1179,1,1,1,1
1180,1,1,0,1
1181,4,6,3,2
1182,1,2,1,0
1183,23,45,22,14
1184,1,2,0,0
1185,0,0,0,0
1186,1,1,1,1
1187,0,0,0,0
1188,0,0,0,0
1189,172,372,215,139
1190,0,0,0,0
1191,135,291,168,108
1192,341,770,496,181
1193,331,753,448,224
1194,253,549,314,201
1195,413,902,451,233
1196,442,971,578,265
1197,132,295,176,78
