hh_id,MAZ,balanced_weight,integer_weight,TAZ,REGION,PUMA
56085,17418,1.0,1,3630,1,50000
56236,17418,0.0,0,3630,1,50000
56372,17418,0.0,0,3630,1,50000
56435,17418,0.0,0,3630,1,50000
56875,17418,1.0,1,3630,1,50000
57081,17418,3.0,3,3630,1,50000
57176,17418,3.0,3,3630,1,50000
57248,17418,0.0,0,3630,1,50000
57340,17418,0.0,0,3630,1,50000
57446,17418,1.0,1,3630,1,50000
57516,17418,20.0,20,3630,1,50000
57536,17418,2.0,2,3630,1,50000
57608,17418,4.0,4,3630,1,50000
57636,17418,3.0,3,3630,1,50000
57655,17418,1.0,1,3630,1,50000
57691,17418,2.0,2,3630,1,50000
57751,17418,11.0,11,3630,1,50000
57786,17418,2.0,2,3630,1,50000
57870,17418,0.0,0,3630,1,50000
57912,17418,1.0,1,3630,1,50000
58028,17418,1.0,1,3630,1,50000
58288,17418,0.0,0,3630,1,50000
58491,17418,10.0,10,3630,1,50000
58506,17418,2.0,2,3630,1,50000
58568,17418,7.0,7,3630,1,50000
58638,17418,1.0,1,3630,1,50000
58642,17418,1.0,1,3630,1,50000
58868,17418,2.0,2,3630,1,50000
58873,17418,0.0,0,3630,1,50000
58874,17418,0.0,0,3630,1,50000
58945,17418,0.0,0,3630,1,50000
58957,17418,0.0,0,3630,1,50000
58983,17418,4.0,4,3630,1,50000
59016,17418,0.0,0,3630,1,50000
59047,17418,0.0,0,3630,1,50000
59086,17418,0.0,0,3630,1,50000
59127,17418,2.0,2,3630,1,50000
59132,17418,1.0,1,3630,1,50000
59140,17418,1.0,1,3630,1,50000
59834,17418,0.0,0,3630,1,50000
59932,17418,1.0,1,3630,1,50000
59993,17418,2.0,2,3630,1,50000
60118,17418,0.0,0,3630,1,50000
60144,17418,0.0,0,3630,1,50000
60441,17418,0.0,0,3630,1,50000
60618,17418,1.0,1,3630,1,50000
60734,17418,1.0,1,3630,1,50000
61315,17418,2.0,2,3630,1,50000
61341,17418,0.0,0,3630,1,50000
61351,17418,0.0,0,3630,1,50000
61433,17418,1.0,1,3630,1,50000
61498,17418,6.0,6,3630,1,50000
61534,17418,0.0,0,3630,1,50000
