REGION,PUMA,TAZ,MAZ
1,3532,700,296
1,3532,706,297
1,3532,704,298
1,3532,703,299
1,3532,705,300
1,3532,708,301
1,3532,708,302
1,3532,708,303
1,3532,708,304
1,3532,707,305
1,3532,707,306
1,3532,707,307
1,3532,707,308
1,3532,709,309
1,3532,709,310
1,3532,709,311
1,3532,709,312
1,3532,710,313
1,3532,710,314
1,3532,710,315
1,3532,710,316
1,3532,712,317
1,3532,712,318
1,3532,712,319
1,3532,712,320
1,3532,711,321
1,3532,711,322
1,3532,711,323
1,3532,711,324
1,3532,714,325
1,3532,713,326
1,3532,716,327
1,3532,715,328
1,3532,717,329
1,3532,717,330
1,3532,717,331
1,3532,717,332
1,3526,464,333
1,3526,465,334
1,3526,467,335
1,3526,466,336
1,3526,463,337
1,3526,462,338
1,3526,460,339
1,3526,461,340
1,3526,459,341
1,3526,459,342
1,3526,459,343
1,3526,459,344
1,3409,1420,345
1,3527,468,346
1,3527,468,347
1,3527,469,348
1,3527,470,349
1,3527,473,350
1,3527,472,351
1,3527,471,352
1,3526,475,353
1,3527,477,354
1,3526,476,355
1,3527,474,356
1,3526,480,357
1,3526,479,358
1,3527,478,359
1,3527,481,360
1,3526,485,361
1,3526,483,362
1,3527,482,363
1,3527,484,364
1,3528,502,365
1,3528,502,366
1,3528,502,367
1,3528,502,368
1,3527,501,369
1,3527,501,370
1,3527,501,371
1,3527,501,372
1,3527,500,373
1,3527,499,374
1,3527,497,375
1,3527,498,376
1,3527,494,377
1,3527,494,378
1,3527,494,379
1,3527,494,380
1,3527,492,381
1,3527,492,382
1,3527,492,383
1,3527,492,384
1,3527,486,385
1,3527,488,386
1,3527,491,387
1,3527,489,388
1,3527,490,389
1,3527,487,390
1,3409,493,391
1,3409,493,392
1,3527,496,393
1,3527,495,394
1,3527,503,395
1,3527,503,396
1,3527,503,397
1,3527,503,398
1,3528,507,399
1,3527,506,400
1,3528,504,401
1,3527,505,402
1,3528,508,403
1,3528,510,404
1,3528,509,405
1,3528,509,406
1,3530,516,407
1,3530,516,408
1,3530,516,409
1,3530,516,410
1,3530,515,411
1,3530,515,412
1,3530,515,413
1,3530,515,414
1,3527,511,415
1,3527,513,416
1,3530,512,417
1,3530,514,418
1,3530,517,419
1,3530,517,420
1,3530,517,421
1,3530,517,422
1,3530,518,423
1,3530,520,424
1,3530,519,425
1,3530,521,426
1,3530,522,427
1,3530,522,428
1,3530,522,429
1,3530,522,430
1,3529,536,431
1,3529,536,432
1,3529,537,433
1,3529,538,434
1,3529,535,435
1,3529,532,436
1,3529,534,437
1,3529,533,438
1,3529,531,439
1,3526,530,440
1,3529,529,441
1,3526,528,442
1,3526,527,443
1,3526,527,444
1,3526,527,445
1,3526,527,446
1,3526,524,447
